Recipient,Category,Grant,FY14
Torrington,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,39191
Torrington,Public Health/Social Services,Community Services,5595
Torrington,Property Tax,Colleges &amp; Hospitals PILOT,239621.72
Torrington,Property Tax,Elderly Circuit Breaker,334446.32
Torrington,Property Tax,State Property PILOT,225389.51
Torrington,Property Tax,Veterans' Exemption,30350.58
Torrington,Property Tax,Disability Exemption,7553.79
Torrington,Property Tax,Pequot Grants,262158.2
Torrington,Property Tax,Elderly Freeze,4000
Torrington,Property Tax,Grants For Municipal Projects,569326
Torrington,Property Tax,Municipal Aid Adjustment,95012.83
Torrington,Capital Projects/Transportation,LoCIP,270258
Torrington,Capital Projects/Transportation,Town Aid Road,469609.51
Torrington,Capital Projects/Transportation,Distressed Municipalities,31002.24
Torrington,Capital Projects/Transportation,Urban Action Grants,2937001
Thompson,Education,Child Nutrition State Match,5803
Thompson,Education,School Breakfast,9652
Thompson,Education,After School Program,25000
Thompson,Education,Magnet Schools,8884
Thompson,Education,Excess Cost- Student Based,419152
Thompson,Education,Education Cost Sharing,7699079
Thompson,Education,Public School Transportation,86509
Thompson,Education,Nonpublic School Transportation,5419
Thompson,Education,Adult Education,51745
Thompson,Public Health/Social Services,Healthy Foods Initiative,11176
Thompson,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,8356
Thompson,Property Tax,Colleges &amp; Hospitals PILOT,2379.35
Thompson,Property Tax,Elderly Circuit Breaker,85029.4
Thompson,Property Tax,State Property PILOT,10624.25
Thompson,Property Tax,Veterans' Exemption,18820.06
Thompson,Property Tax,Disability Exemption,2411.5
Thompson,Property Tax,Pequot Grants,69723.37
Thompson,Property Tax,Grants For Municipal Projects,72167
Thompson,Capital Projects/Transportation,LoCIP,92228
Thompson,Capital Projects/Transportation,Town Aid Road,253431.08
Thompson,Capital Projects/Transportation,Distressed Municipalities,1108.82
Thompson,Capital Projects/Transportation,Urban Action Grants,0
Thomaston,Education,Child Nutrition State Match,3951
Thomaston,Education,School Construction,178722.82
Thomaston,Education,School Breakfast,9240
Thomaston,Education,Magnet Schools,165326
Thomaston,Education,Excess Cost- Student Based,340718
Thomaston,Education,Education Cost Sharing,5677866
Thomaston,Education,Public School Transportation,46684
Thomaston,Education,Adult Education,15751
Thomaston,Public Health/Social Services,Healthy Foods Initiative,8086
Thomaston,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Thomaston,Capital Projects/Transportation,LoCIP,54334
Thomaston,Capital Projects/Transportation,Town Aid Road,224305.26
Thomaston,Capital Projects/Transportation,Urban Action Grants,0
Thomaston,Property Tax,Elderly Circuit Breaker,54911.97
Thomaston,Property Tax,State Property PILOT,34950.28
Thomaston,Property Tax,Veterans' Exemption,9502.48
Thomaston,Property Tax,Disability Exemption,875.16
Thomaston,Property Tax,Pequot Grants,42299.33
Thomaston,Property Tax,Elderly Freeze,2000
Thomaston,Property Tax,Grants For Municipal Projects,371822
Suffield,Education,Child Nutrition State Match,7499
Suffield,Education,School Construction,-43255
Suffield,Education,OPEN Choice,569872
Suffield,Education,School Breakfast,3086
Suffield,Education,Excess Cost- Student Based,839573
Suffield,Education,Education Cost Sharing,6272257
Suffield,Education,Public School Transportation,77644
Suffield,Education,Youth Service Bureaus,18937
Suffield,Education,Adult Education,7236
Suffield,Education,Vocational Agriculture,365102
Suffield,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),250000
Suffield,Capital Projects/Transportation,LoCIP,92400
Suffield,Capital Projects/Transportation,Town Aid Road,290658.13
Suffield,Capital Projects/Transportation,Urban Action Grants,0
Suffield,Capital Projects/Transportation,Bus Operations,32419
Suffield,Property Tax,Elderly Circuit Breaker,83924.64
Suffield,Property Tax,State Property PILOT,3229942.98
Suffield,Property Tax,Veterans' Exemption,8028.26
Suffield,Property Tax,Disability Exemption,1241.39
Suffield,Property Tax,Pequot Grants,2675180.22
Suffield,Property Tax,Elderly Freeze,2000
Suffield,Property Tax,Grants For Municipal Projects,169913
Stonington,Education,Child Nutrition State Match,9349
Stonington,Education,School Breakfast,18899
Stonington,Education,Magnet Schools,68900
Stonington,Education,Excess Cost- Student Based,769972
Stonington,Education,Education Cost Sharing,2022297
Stonington,Education,Public School Transportation,26322
Stonington,Education,Nonpublic School Transportation,3444
Stonington,Education,Youth Service Bureaus,25544
Stonington,Education,Adult Education,16592
Stonington,Public Health/Social Services,Healthy Foods Initiative,19135
Stonington,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,10194
Stonington,Property Tax,Elderly Circuit Breaker,119766.16
Stonington,Property Tax,State Property PILOT,20554.15
Stonington,Property Tax,Veterans' Exemption,19287.55
Stonington,Property Tax,Disability Exemption,1805.04
Stonington,Property Tax,Pequot Grants,36076.37
Stonington,Property Tax,Elderly Freeze,5002.54
Stonington,Property Tax,Grants For Municipal Projects,102605.44
Stonington,Capital Projects/Transportation,LoCIP,111869
Stonington,Capital Projects/Transportation,Town Aid Road,314282.18
Stonington,Capital Projects/Transportation,Urban Action Grants,0
Sterling,Education,Child Nutrition State Match,1997
Sterling,Education,School Breakfast,3221
Sterling,Education,Magnet Schools,7800
Sterling,Education,Excess Cost- Student Based,170739
Sterling,Education,Education Cost Sharing,3250960
Sterling,Education,Public School Transportation,54372
Sterling,Education,Adult Education,11041
Sterling,Public Health/Social Services,Healthy Foods Initiative,4088
Sterling,Property Tax,Elderly Circuit Breaker,19860.32
Sterling,Property Tax,State Property PILOT,6842.53
Sterling,Property Tax,Veterans' Exemption,2770.72
Sterling,Property Tax,Disability Exemption,971.37
Sterling,Property Tax,Pequot Grants,33461.47
Sterling,Property Tax,Grants For Municipal Projects,24162.18
Sterling,Capital Projects/Transportation,LoCIP,40652
Sterling,Capital Projects/Transportation,Town Aid Road,192374.54
Sprague,Education,Child Nutrition State Match,2098
Sprague,Education,School Breakfast,3451
Sprague,Education,Magnet Schools,11700
Sprague,Education,Excess Cost- Student Based,114554
Sprague,Education,Education Cost Sharing,2641889
Sprague,Education,Public School Transportation,51672
Sprague,Education,Nonpublic School Transportation,5935
Sprague,Education,Adult Education,14891
Sprague,Public Health/Social Services,Healthy Foods Initiative,4293
Sprague,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,25647
Sprague,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Sprague,Capital Projects/Transportation,LoCIP,25271
Sprague,Capital Projects/Transportation,Town Aid Road,151352.8
Sprague,Capital Projects/Transportation,Distressed Municipalities,816.83
Sprague,Capital Projects/Transportation,Bus Operations,8543
Sprague,Property Tax,Elderly Circuit Breaker,8171.42
Sprague,Property Tax,State Property PILOT,11431.28
Sprague,Property Tax,Veterans' Exemption,2682.6
Sprague,Property Tax,Disability Exemption,370.05
Sprague,Property Tax,Pequot Grants,30898.84
Sprague,Property Tax,Grants For Municipal Projects,363529
Sprague,Property Tax,Municipal Aid Adjustment,150000
Southington,Education,Child Nutrition State Match,16739
Southington,Education,School Construction,21748622.5
Southington,Education,OPEN Choice,179575
Southington,Education,School Breakfast,41781
Southington,Education,Excess Cost- Student Based,2426614
Southington,Education,Education Cost Sharing,20299614
Southington,Education,Public School Transportation,160743
Southington,Education,Nonpublic School Transportation,37665
Southington,Education,Youth Service Bureaus,34373
Southington,Education,Adult Education,11783
Southington,Education,Vocational Agriculture,373400
Southington,Education,Child Care Services,192158.91
Southington,Property Tax,Colleges &amp; Hospitals PILOT,137107.8
Southington,Property Tax,Elderly Circuit Breaker,321424.49
Southington,Property Tax,State Property PILOT,24949.02
Southington,Property Tax,Veterans' Exemption,54803.72
Southington,Property Tax,Disability Exemption,5492.05
Southington,Property Tax,Pequot Grants,144791.55
Southington,Property Tax,Grants For Municipal Projects,771956
Southington,Capital Projects/Transportation,LoCIP,280548
Southington,Capital Projects/Transportation,Town Aid Road,521381.45
Southington,Capital Projects/Transportation,Distressed Municipalities,41434.02
Southington,Capital Projects/Transportation,Urban Action Grants,0
Southington,Capital Projects/Transportation,Bus Operations,54893
Southington,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,60942
South Windsor,Education,Child Nutrition State Match,14302
South Windsor,Education,School Construction,19316
South Windsor,Education,OPEN Choice,825442
South Windsor,Education,School Breakfast,6118
South Windsor,Education,Magnet Schools,64000
South Windsor,Education,Excess Cost- Student Based,1299037
South Windsor,Education,Education Cost Sharing,12770226
South Windsor,Education,Public School Transportation,107658
South Windsor,Education,Youth Service Bureaus,28905
South Windsor,Education,Adult Education,11288
South Windsor,Public Health/Social Services,Healthy Foods Initiative,29273
South Windsor,Public Health/Social Services,Community Services,1638
South Windsor,Property Tax,Elderly Circuit Breaker,148280.96
South Windsor,Property Tax,State Property PILOT,9824.6
South Windsor,Property Tax,Veterans' Exemption,15882.78
South Windsor,Property Tax,Disability Exemption,1839.66
South Windsor,Property Tax,Pequot Grants,56236.47
South Windsor,Property Tax,Elderly Freeze,2000
South Windsor,Property Tax,Grants For Municipal Projects,1258566
South Windsor,Capital Projects/Transportation,LoCIP,164563
South Windsor,Capital Projects/Transportation,Town Aid Road,380375.06
South Windsor,Capital Projects/Transportation,Urban Action Grants,0
South Windsor,Capital Projects/Transportation,Bus Operations,33444
Simsbury,Education,Child Nutrition State Match,11342
Simsbury,Education,OPEN Choice,879728
Simsbury,Education,School Breakfast,3041
Simsbury,Education,Magnet Schools,48000
Simsbury,Education,Excess Cost- Student Based,1081782
Simsbury,Education,Education Cost Sharing,5609946
Simsbury,Education,Public School Transportation,39066
Simsbury,Education,Nonpublic School Transportation,6527
Simsbury,Education,Youth Service Bureaus,20171
Simsbury,Education,Adult Education,9635
Simsbury,Public Health/Social Services,Healthy Foods Initiative,23213
Simsbury,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,20326
Simsbury,Property Tax,Elderly Circuit Breaker,80646.3
Simsbury,Property Tax,State Property PILOT,106092.86
Simsbury,Property Tax,Veterans' Exemption,5941.8
Simsbury,Property Tax,Disability Exemption,1731.85
Simsbury,Property Tax,Pequot Grants,31434.35
Simsbury,Property Tax,Grants For Municipal Projects,75509.27
Simsbury,Capital Projects/Transportation,LoCIP,155184
Simsbury,Capital Projects/Transportation,Town Aid Road,360991.28
Simsbury,Capital Projects/Transportation,Bus Operations,31923
Shelton,Education,Child Nutrition State Match,21411
Shelton,Education,School Breakfast,19578
Shelton,Education,Magnet Schools,14480
Shelton,Education,Bilingual Education,2000
Shelton,Education,Excess Cost- Student Based,652915
Shelton,Education,Education Cost Sharing,5238810
Shelton,Education,Public School Transportation,126761
Shelton,Education,Nonpublic School Transportation,11905
Shelton,Education,Youth Service Bureaus,30270
Shelton,Education,Adult Education,38769
Shelton,Public Health/Social Services,Healthy Foods Initiative,40499
Shelton,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,36022
Shelton,Property Tax,Elderly Circuit Breaker,256013.14
Shelton,Property Tax,State Property PILOT,14632.82
Shelton,Property Tax,Veterans' Exemption,29978.15
Shelton,Property Tax,Disability Exemption,4245.83
Shelton,Property Tax,Pequot Grants,77086.43
Shelton,Property Tax,Grants For Municipal Projects,549365
Shelton,Capital Projects/Transportation,LoCIP,265841
Shelton,Capital Projects/Transportation,Town Aid Road,493927.09
Shelton,Capital Projects/Transportation,Urban Action Grants,0
Sharon,Education,Child Nutrition State Match,641
Sharon,Education,Education Cost Sharing,145798
Sharon,Education,Public School Transportation,290
Sharon,Property Tax,Elderly Circuit Breaker,19058.37
Sharon,Property Tax,State Property PILOT,16200.62
Sharon,Property Tax,Veterans' Exemption,2281.97
Sharon,Property Tax,Disability Exemption,41.23
Sharon,Property Tax,Pequot Grants,6781.69
Sharon,Property Tax,DECD PILOT Grant,4760
Sharon,Property Tax,Grants For Municipal Projects,0
Sharon,Capital Projects/Transportation,LoCIP,49602
Sharon,Capital Projects/Transportation,Town Aid Road,354660.44
Sharon,Capital Projects/Transportation,Urban Action Grants,0
Seymour,Education,Child Nutrition State Match,11790
